lon,lat,distance_km,x_santiago_km,relief_m,resolution
-77.455525606469,-33.45891,236.04545069952127,-630.1781773334322,-1794.5388601076538,01m
-77.43396226415095,-33.45891,238.04583587493966,-628.1777921544251,-1572.6488113207686,01m
-77.41239892183289,-33.45891,240.04622105035924,-626.1774069754167,-1474.325218328799,01m
-77.39083557951483,-33.45891,242.04660622577998,-624.1770217964083,-1539.5305725067542,01m
-77.36927223719677,-33.45891,244.04699140119956,-622.1766366173999,-1884.4793283018812,01m
-77.3477088948787,-33.45891,246.04737657661914,-620.1762514383915,-2240.426070620166,01m
-77.32614555256065,-33.45891,248.04776175203872,-618.1758662593832,-2597.220032884019,01m
-77.30458221024259,-33.45891,250.0481469274583,-616.1754810803748,-2830.607113477141,01m
-77.28301886792453,-33.45891,252.04853210287905,-614.1750959013663,-2964.39208679248,01m
-77.26145552560646,-33.45891,254.04891727829863,-612.1747107223579,-3204.1123013476954,01m
-77.2398921832884,-33.45891,256.0493024537182,-610.1743255433495,-3322.040789218344,01m
-77.21832884097034,-33.45891,258.0496876291378,-608.1739403643411,-3401.1874566038045,01m
-77.1967654986523,-33.45891,260.0500728045562,-606.1735551853341,-3552.013203504056,01m
-77.17520215633424,-33.45891,262.05045797997576,-604.1731700063257,-3620.3654479784345,01m
-77.15363881401618,-33.45891,264.05084315539654,-602.1727848273172,-3631.107911590294,01m
-77.13207547169812,-33.45891,266.0512283308161,-600.1723996483089,-3608.2312886792197,01m
-77.11051212938006,-33.45891,268.0516135062357,-598.1720144693005,-3526.344894339595,01m
-77.088948787062,-33.45891,270.0519986816553,-596.1716292902921,-3341.4361423180485,01m
-77.06738544474393,-33.45891,272.05238385707486,-594.1712441112837,-3207.9198552560765,01m
-77.04582210242587,-33.45891,274.05276903249444,-592.1708589322753,-3147.040055795177,01m
-77.02425876010781,-33.45891,276.0531542079152,-590.170473753267,-2753.7777080860396,01m
-77.00269541778975,-33.45891,278.0535393833348,-588.1700885742584,-1941.0308851751106,01m
-76.98113207547169,-33.45891,280.0539245587544,-586.16970339525,-1328.6085056601262,01m
-76.95956873315365,-33.45891,282.05430973417276,-584.169318216243,-982.762568194119,01m
-76.93800539083558,-33.45891,284.05469490959234,-582.1689330372346,-998.2294870618854,01m
-76.91644204851752,-33.45891,286.0550800850119,-580.1685478582262,-1048.3735997304045,01m
-76.89487870619946,-33.45891,288.0554652604327,-578.1681626792179,-783.7483690026914,01m
-76.8733153638814,-33.45891,290.0558504358523,-576.1677775002094,-657.4007156334208,01m
-76.85175202156334,-33.45891,292.05623561127186,-574.167392321201,-724.0907792453154,01m
-76.83018867924528,-33.45891,294.05662078669144,-572.1670071421926,-1038.3287811318191,01m
-76.80862533692722,-33.45891,296.057005962111,-570.1666219631842,-1556.488502425902,01m
-76.78706199460916,-33.45891,298.0573911375318,-568.1662367841758,-2009.6974900269133,01m
-76.7654986522911,-33.45891,300.0577763129514,-566.1658516051675,-2352.792940700902,01m
-76.74393530997304,-33.45891,302.05816148837096,-564.1654664261591,-2558.4739757412863,01m
-76.722371967655,-33.45891,304.05854666378934,-562.165081247152,-2832.1734247976283,01m
-76.70080862533693,-33.45891,306.0589318392089,-560.1646960681436,-3196.030422371952,01m
-76.67924528301887,-33.45891,308.0593170146285,-558.1643108891352,-3441.4605830188348,01m
-76.65768194070081,-33.45891,310.0597021900493,-556.1639257101268,-3593.2529819407446,01m
-76.63611859838275,-33.45891,312.06008736546886,-554.1635405311184,-3730.001184636146,01m
-76.61455525606469,-33.45891,314.06047254088844,-552.16315535211,-3843.3222266846387,01m
-76.59299191374663,-33.45891,316.060857716308,-550.1627701731015,-3944.7074547169664,01m
-76.57142857142857,-33.45891,318.0612428917276,-548.1623849940931,-4053.528199999968,01m
-76.54986522911051,-33.45891,320.0616280671472,-546.1619998150848,-4155.753208086274,01m
-76.52830188679245,-33.45891,322.06201324256796,-544.1616146360764,-4234.776539622648,01m
-76.50673854447439,-33.45891,324.06239841798754,-542.161229457068,-4305.185698113202,01m
-76.48517520215634,-33.45891,326.0627835934059,-540.160844278061,-4361.579633423169,01m
-76.46361185983828,-33.45891,328.0631687688255,-538.1604590990526,-4397.071191374656,01m
-76.44204851752022,-33.45891,330.0635539442451,-536.160073920044,-4414.561822911053,01m
-76.42048517520216,-33.45891,332.06393911966467,-534.1596887410357,-4428.84902560647,01m
-76.3989218328841,-33.45891,334.06432429508544,-532.1593035620273,-4441.79990673855,01m
-76.37735849056604,-33.45891,336.064709470505,-530.1589183830189,-4449.512079245285,01m
-76.35579514824798,-33.45891,338.0650946459246,-528.1585332040106,-4450.547701886793,01m
-76.33423180592992,-33.45891,340.0654798213442,-526.1581480250022,-4442.898030997305,01m
-76.31266846361186,-33.45891,342.06586499676376,-524.1577628459937,-4435.965462803235,01m
-76.2911051212938,-33.45891,344.06625017218454,-522.1573776669853,-4443.136402425882,01m
-76.26954177897574,-33.45891,346.0666353476041,-520.1569924879769,-4465.990298921839,01m
-76.24797843665768,-33.45891,348.0670205230237,-518.1566073089685,-4502.295426684639,01m
-76.22641509433963,-33.45891,350.0674056984421,-516.1562221299615,-4538.24455660377,01m
-76.20485175202157,-33.45891,352.06779087386167,-514.1558369509531,-4563.235036927219,01m
-76.18328840970351,-33.45891,354.06817604928125,-512.1554517719447,-4573.65269272237,01m
-76.16172506738545,-33.45891,356.06856122470083,-510.1550665929363,-4566.479239892182,01m
-76.14016172506739,-33.45891,358.0689464001216,-508.1546814139279,-4545.857755795149,01m
-76.11859838274933,-33.45891,360.0693315755412,-506.1542962349195,-4511.515454986504,01m
-76.09703504043127,-33.45891,362.06971675096077,-504.15391105591107,-4464.811180592973,01m
-76.0754716981132,-33.45891,364.07010192638035,-502.1535258769027,-4414.194245283009,01m
-76.05390835579514,-33.45891,366.0704871017999,-500.1531406978943,-4370.938512668462,01m
-76.03234501347708,-33.45891,368.0708722772207,-498.1527555188859,-4340.369161455527,01m
-76.01078167115902,-33.45891,370.0712574526403,-496.15237033987756,-4326.617167385441,01m
-75.98921832884096,-33.45891,372.07164262805986,-494.1519851608692,-4320.382083827491,01m
-75.96765498652292,-33.45891,374.07202780347825,-492.1515999818621,-4317.747302964959,01m
-75.94609164420486,-33.45891,376.07241297889783,-490.1512148028537,-4314.960201347709,01m
-75.9245283018868,-33.45891,378.0727981543174,-488.15082962384525,-4313.953994339623,01m
-75.90296495956873,-33.45891,380.0731833297382,-486.15044444483686,-4319.065129110515,01m
-75.88140161725067,-33.45891,382.07356850515777,-484.1500592658285,-4335.441469541784,01m
-75.85983827493261,-33.45891,384.07395368057735,-482.1496740868201,-4363.22008733156,01m
-75.83827493261455,-33.45891,386.0743388559969,-480.1492889078117,-4395.122754447435,01m
-75.81671159029649,-33.45891,388.0747240314165,-478.14890372880325,-4421.207121024251,01m
-75.79514824797843,-33.45891,390.0751092068361,-476.14851854979486,-4430.661321293802,01m
