OBJECTID_INT,dFSR_AALR_NAC_pct,dFSR_AALR_HAZ_pct
15646,1.7307883881256636,0.7669155272323422
15648,1.7302140505821173,0.7668408237333791
15650,1.7296082492519278,0.7667586679462179
15653,1.9073302564533985,0.7996717503177594
15659,1.7882574357754009,0.7780696882672558
15662,1.7313547438680177,0.7669936596112717
15665,1.952437102445362,0.8641486573761962
15666,1.730158325454203,0.7668320717716476
15675,1.730244181087206,0.7671330014755501
15678,1.7314885850690933,0.767012691781541
15690,1.9986115120111176,0.8150804846116996
15695,1.952436271881956,0.864148657813158
15702,1.7263168217321572,0.7663155738351514
15713,1.9972842868892324,0.8150487909881423
15716,1.7451112311626067,0.7809129285867877
15721,1.9016383451393695,0.7971053801823557
15728,1.9544790851578047,0.8167661898947932
15731,1.7354367160831947,0.7763573767964176
15737,1.9223473838122027,0.799336368883164
15749,1.7492748913571619,0.7791059228374557
15750,1.729261925510541,0.7667101088943342
15757,1.7459992082074969,0.7776197916559098
15760,1.7267738935962567,0.7664717451061631
15761,1.8422649509795315,0.8278317921495736
15763,1.8656713287442357,0.7946483536415068
15771,1.8468953668715375,0.7903706415553352
15781,1.7233050238672993,0.7661348171896277
15798,1.692274173774164,0.763297434898851
15804,1.6863749153521546,0.7627085303147589
15806,1.6883865403260052,0.7628433355559772
15823,1.6967950593369299,0.7645166943431665
15827,1.6911438352433388,0.7631379975026911
15834,1.7013969236566897,0.7650419989526983
15837,1.8402641909112913,0.7992574831512699
15839,1.8524899109528785,0.800671852646169
15841,1.8260419590460932,0.7882334073047518
15842,1.6860331431812767,0.7626975963377628
15857,1.6960060421184138,0.7638216133117726
15860,1.7047720302515061,0.7666680832254433
15869,1.8297561330073855,0.7885147304844703
15871,1.870781262398759,0.8135486400263366
15876,1.689715570682828,0.7629445360709788
15879,1.7277934531481767,0.7903605324842201
15883,1.6904891743445933,0.763048312297157
15896,1.8578882327929793,0.8051856294208628
15898,1.8795022641108696,0.8184583137121858
